epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4854.18,0.15583,0.60587,0.94703,0.90308,0.9133,0.95622,0.94531,0.27862,0.35179,0.45395,0.000828443,0.000828443,0.000828443
43,4969.19,0.15453,0.59606,0.94662,0.90439,0.91106,0.94567,0.94302,0.22136,0.35693,0.36345,0.000820525,0.000820525,0.000820525
44,5084.45,0.15478,0.59091,0.95046,0.91442,0.91987,0.95962,0.95885,0.18461,0.36532,0.30794,0.000812468,0.000812468,0.000812468
45,5198.89,0.14924,0.58706,0.94257,0.92081,0.87721,0.93806,0.9369,0.14813,0.35363,0.26197,0.000804277,0.000804277,0.000804277
46,5313.07,0.14877,0.56956,0.94268,0.81444,0.84997,0.87497,0.86258,0.25004,0.48524,0.41688,0.000795954,0.000795954,0.000795954
47,5427.02,0.15125,0.58134,0.94412,0.82648,0.91916,0.91769,0.91303,0.24779,0.36386,0.39864,0.000787503,0.000787503,0.000787503
48,5541.11,0.14552,0.56013,0.93932,0.87976,0.92592,0.94022,0.93452,0.2578,0.376,0.42928,0.000778929,0.000778929,0.000778929
49,5655.44,0.15043,0.57259,0.94654,0.89013,0.88354,0.92207,0.92007,0.20045,0.44295,0.35729,0.000770234,0.000770234,0.000770234
50,5770.05,0.15131,0.56679,0.94698,0.93111,0.94261,0.96537,0.96184,0.15448,0.31968,0.3136,0.000761423,0.000761423,0.000761423
51,5884.55,0.14618,0.55734,0.94406,0.89486,0.93517,0.94752,0.9438,0.20579,0.36293,0.3684,0.0007525,0.0007525,0.0007525
52,5998.73,0.14495,0.54304,0.94346,0.90973,0.90409,0.94387,0.94304,0.16436,0.36987,0.30034,0.000743468,0.000743468,0.000743468
53,6112.96,0.14272,0.56451,0.94041,0.92441,0.92382,0.95846,0.95675,0.18639,0.30622,0.32283,0.000734332,0.000734332,0.000734332
54,6227.02,0.14209,0.55082,0.93811,0.89297,0.92022,0.94981,0.94471,0.17779,0.3502,0.27064,0.000725094,0.000725094,0.000725094
55,6341.77,0.14417,0.55863,0.9387,0.82859,0.92576,0.92902,0.91914,0.24369,0.39296,0.37939,0.000715761,0.000715761,0.000715761
56,6455.74,0.14166,0.5288,0.93983,0.91097,0.91896,0.95355,0.95222,0.16404,0.3335,0.29425,0.000706335,0.000706335,0.000706335
57,6569.81,0.14113,0.53321,0.94015,0.91325,0.92471,0.95309,0.935,0.2188,0.39427,0.38976,0.00069682,0.00069682,0.00069682
58,6684.04,0.13557,0.52672,0.93585,0.9238,0.93517,0.96131,0.9599,0.20479,0.35031,0.3507,0.000687222,0.000687222,0.000687222
59,6797.91,0.13543,0.51239,0.93291,0.90718,0.93427,0.94939,0.94384,0.20158,0.35913,0.34454,0.000677543,0.000677543,0.000677543
60,6911.77,0.13667,0.52658,0.93504,0.92,0.93327,0.96083,0.95725,0.19091,0.3821,0.33573,0.000667789,0.000667789,0.000667789
61,7025.52,0.13424,0.51257,0.93605,0.92569,0.93027,0.96716,0.96668,0.15973,0.31992,0.26757,0.000657963,0.000657963,0.000657963
62,7139.89,0.13113,0.51376,0.93051,0.93925,0.92519,0.96524,0.96447,0.18829,0.35319,0.32896,0.000648071,0.000648071,0.000648071
63,7254.4,0.13498,0.50908,0.93678,0.90783,0.95757,0.96923,0.96792,0.19308,0.3357,0.33004,0.000638115,0.000638115,0.000638115
64,7368.15,0.13329,0.49833,0.93237,0.91461,0.95214,0.96503,0.96243,0.13234,0.31572,0.24788,0.000628101,0.000628101,0.000628101
65,7481.93,0.13233,0.49974,0.93152,0.9354,0.94405,0.96854,0.96206,0.21214,0.39528,0.33456,0.000618034,0.000618034,0.000618034
